Name,Category,Type,Address,Cost Range,Tips,Website
Chocolatería San Ginés,Breakfast,Churros,"Pasadizo de San Ginés 5, 28013 Madrid","~5 EUR/person","08:30 - Metro L3 Legazpi to Sol (12 min). Churros + chocolate at the 1894 marble counter, open 24h, calm at this hour. Save the full ritual for tomorrow's 08:00 if you would rather not do churros two days running.",https://chocolateriasangines.com
La Mallorquina,Breakfast,Pastry,"Puerta del Sol 8, 28013 Madrid","3-6 EUR/person","08:30 breakfast option - 1894 pastry institution, napolitana de chocolate, upstairs room over the plaza.",https://pastelerialamallorquina.es
Kilómetro 0 / El Oso y el Madroño,Sight,Landmark,"Puerta del Sol, 28013 Madrid",Free,"30 seconds from the metro exit: the Kilómetro 0 plaque (all Spanish roads measure from this pavement slab) and the Bear and Strawberry Tree statue, Madrid's coat of arms. Photo, done.",N/A
Palacio Real,Sight,Palace,"Calle de Bailén, 28071 Madrid","18 EUR/adult, 9 EUR ages 5-16, students to 25 and 65+ - ~54 EUR for four if the 19-y-o shows student ID","10:00, 2 HRS - PRE-BOOK THE 10:00 SLOT at tickets.patrimonionacional.es. Walk 15 min from Sol via C/ del Arenal and Plaza de Oriente; BE AT THE GATE BY 09:50, the first hour is the quietest. Europe's largest functioning royal palace, 3,418 rooms, bigger than Versailles or Buckingham. Grand Staircase, Throne Room (Tiepolo ceiling), Gasparini Room, Banquet Hall set for 145. If the booking flow offers the Royal Kitchen add-on, take it. Apr-Sep Mon-Sat 10:00-19:00, last entry 18:00.",https://www.patrimonionacional.es
Real Armería (Royal Armoury),Sight,Museum,"Plaza de la Armería, 28013 Madrid","Included in the palace ticket","THE KIDS' HIT - child-sized parade armour, full jousting kits for horse and rider, Charles V's actual suits. The armoury exit drops you 60 seconds from the cathedral door.",N/A
Changing of the Guard,Activity,Ceremony,"Puerta del Príncipe, Palacio Real, 28013 Madrid",Free,"WED + SAT 11:00-14:00, every 30 min - catch a cycle from Plaza de la Armería on the way out, ~12:00. The grand Relevo Solemne skips September; no loss, the small one is the charming one.",N/A
Jardines de Sabatini,Sight,Garden,"Calle de Bailén 2, 28013 Madrid",Free,"10 bonus minutes if the queue moved fast - a formal hedge garden below the palace's north facade, with the palace looming over it.",N/A
Catedral de la Almudena,Sight,Cathedral,"Calle de Bailén 10, 28013 Madrid",Free (small donation),"12:15, 45 min, across the plaza. Madrid waited 500 years for a cathedral: proposed under Felipe II, started 1879, finished 1993 when John Paul II consecrated it - the first he consecrated outside Rome. The exterior matches the palace; the interior is startlingly contemporary, pop-coloured vault panels and Rupnik mosaics. Weekday Mass at 12:00 if you want the family Mass ticked off.",https://catedraldelaalmudena.es
Cripta de la Almudena,Sight,Crypt,"Calle Mayor 90, 28013 Madrid",~1 EUR donation,"THE SLEEPER HIT - separate entrance around the corner on C/ Mayor. 400 Neo-Romanesque columns, each capital carved differently, candle-lit gloom, the image of Madrid's patroness, and almost nobody there. Open 10:00-14:00 + 16:30-20:00 - GO BEFORE 14:00, it shuts at midday.",N/A
Casa Ciriaco,Lunch,Castilian,"Calle Mayor 84, 28013 Madrid","25-35 EUR/person","13:30 walk-by on C/ Mayor - from a balcony of this building an anarchist threw a bomb hidden in a bouquet at Alfonso XIII's wedding procession in 1906 (the memorial stands across the street). The tavern below has fed Madrid since 1929 - pepitoria de gallina - and doubles as a lunch or dinner backup.",N/A
Mercado de San Miguel,Lunch,Gourmet Market,"Plaza de San Miguel, 28005 Madrid","~20 EUR/person","13:45, 1 hr - the 1916 iron-and-glass hall: prettier than Barcelona's Boqueria, calmer, pricier. Stall order: Daniel Sorlut oysters (2.50 EUR each), the Carrasco jamón cone (6-8 EUR), jamón + bacalao croquetas, vermut de grifo, dessert counters. NO TABLES - claim a stretch of counter first, then send scouts to different stalls in parallel. If rammed, the side door onto Plaza de San Miguel has the shortest queues.",https://mercadodesanmiguel.es
Bocadillo de calamares on C/ Botoneras,Lunch,Bocadillos,"Calle de Botoneras, 28012 Madrid",~4 EUR,"CHEAP-AND-PERFECT ALTERNATIVE to San Miguel - the bars just off Plaza Mayor do the thing Madrid actually eats on this square.",N/A
Plaza Mayor,Sight,Square,"Plaza Mayor, 28012 Madrid",Free,"15:00, 20 min - Felipe III's 1619 square. Bullfights, coronations and Inquisition autos-da-fé all happened between these arcades. Look up at the Casa de la Panadería frescoes (the only original building, the rest burned three times), count the nine gateways. Mid-afternoon is its quietest hour. NEVER SIT AT THE ARCADE CAFÉS - the same coffee is 30% cheaper one street off.",N/A
Convento del Corpus Christi (Las Carboneras),Shopping,Convent Sweets,"Plaza del Conde de Miranda 3, 28005 Madrid","8-15 EUR/box","Optional 3-min detour - cloistered nuns sell almond cookies through a revolving turnstile in the wall: you order blind, put cash in the wheel, it spins back with biscuits. 09:30-13:00 + 16:00-18:30, so it reopens at 16:00 after the midday break.",N/A
Heladerías Palazzo,Gelato,Ice Cream,"Calle del Arenal 1, 28013 Madrid","3-5 EUR","15:25 - the Madrid family classic since 1972. Lemon and yogur natural are the local picks. Eat walking.",https://heladeriaspalazzo.com
San Antonio de los Alemanes,Sight,Church,"Corredera Baja de San Pablo 16, 28004 Madrid","5-12 EUR/pp depending on formula (audio guide included; 12 EUR combo adds San Plácido)","16:00, 40 min - THE MOST SURPRISING INTERIOR IN MADRID. A plain brick ellipse on a Malasaña corner, and inside every surface floor to lantern is baroque trompe-l'oeil fresco: Luca Giordano's 1689 cycle. REGIME CHANGED 2025-26: now a managed cultural visit, roughly Tue-Sat 10:00-18:00 (last entry 17:30). IT CLOSES ALL AUGUST AND WE LAND IN REOPENING WEEK - if the door is shut, that is why. Daily Mass ~18:00, so 16:00 keeps us clear.",https://realhermandaddelrefugio.org
Plaza del 2 de Mayo,Sight,Square,"Plaza del Dos de Mayo, 28004 Madrid",Free,"17:00 Malasaña wander - where Madrid's 1808 uprising against Napoleon started; Goya painted the aftermath you will see tomorrow at the Prado. C/ de la Palma has the street art.",N/A
HanSo Café,Coffee,Café,"Calle del Pez 20, 28004 Madrid",~4 EUR,"17:00 coffee stop - best flat white in Madrid. Alternative: the 1887 Café Comercial on Glorieta de Bilbao for the marble-and-mirrors version.",https://hansocafe.com
Mercado de San Antón,Sight,Market,"Calle de Augusto Figueroa 24, 28004 Madrid","5-15 EUR","17:45, 30 min - three-floor neighbourhood market in Chueca, a fraction of San Miguel's tourists. PICNIC MOVE: grab drinks/fruit/snacks here before leaving for Debod - there is no kiosk worth the name at the temple and dinner is late.",https://mercadosananton.com
Mistura,Gelato,Ice Cream,"Mercado de San Antón, Calle de Augusto Figueroa 24, 28004 Madrid","4-6 EUR","Gelato #2 of the day, as planned - folded on cold marble in front of you. Basil sorbet and pistachio + sea salt are the orders.",N/A
Templo de Debod,Sight,Egyptian Temple,"Calle de Ferraz 1, 28008 Madrid",Free,"19:45 for a 20:47 SUNSET - THE VIEW OF THE TRIP. A genuine 2nd-century BC Egyptian temple to Amun and Isis, Egypt's 1968 thank-you gift for Spain's help rescuing the Nubian monuments, rebuilt stone by stone facing the sunset. Claim a west-facing spot by the reflecting pools 45 min early. Walk 25 min from Chueca via Gran Vía and Plaza de España, or Metro Chueca L5 to Plaza de España L3/L10. OLDER GUIDES SAY SUNSET ~20:15 - that is late-month; trust 20:47 and do not bake in full sun for an hour. Watch bags in the crowd. Interior (free, timed, reserve on madrid.es) is Tue-Sun 10:00-19:00, last entry 18:30 - realistically it does not fit today.",https://www.esmadrid.com/en/tourist-information/templo-de-debod
Sobrino de Botín,Dinner,Castilian Roast,"Calle de Cuchilleros 17, 28005 Madrid","40-55 EUR/person","21:15 - BOOK NOW. THE WORLD'S OLDEST RESTAURANT, Guinness-certified, cooking since 1725, and the original wood-fired oven has reportedly never gone cold in 300 years. Order the cochinillo asado (roast suckling pig, carved at the table) or cordero; start with sopa de ajo. Hemingway set the final scene of The Sun Also Rises at these tables; Goya washed dishes here at 19. Open 365 days, NO AUGUST CLOSURE, dinner 20:00-23:30. Ask for the bodega or the first-floor sala histórica when booking. 20 min walk south past the lit palace facade, or taxi ~8 EUR.",https://botin.es
Posada de la Villa,Dinner,Castilian Roast,"Calle Cava Baja 9, 28005 Madrid","40-55 EUR/person","BOTÍN BACKUP #1 - wood-fired lamb in a 1642 inn. Closed all August, reopens ~Sep 1 - confirm by phone.",https://posadadelavilla.com
Monasterio de las Descalzas Reales,Sight,Convent,"Plaza de las Descalzas, 28013 Madrid",6 EUR incl. compulsory guided tour,"OPTIONAL SWAP for the church-lovers - a still-cloistered 1559 royal convent hiding Titian, Rubens and one of only two complete Rubens-cartoon tapestry sets in the world. Tue-Sat 10:00-14:00 + 16:00-18:30, last access ~17:30, closed Mon. The real window is a 16:00-17:00 tour INSTEAD OF San Antonio + Malasaña, rejoining at San Antón. Two painted-church superlatives in one afternoon is a lot - pick one.",https://www.patrimonionacional.es
Casa Revuelta,Lunch,Tapas,"Calle de Latoneros 3, 28005 Madrid","8-12 EUR/person","13:45 LUNCH PICK instead of Mercado de San Miguel Battered cod around 2.50 EUR a piece since 1966 CASH no printed menu Four min south of Plaza Mayor",N/A
Bar La Campana,Lunch,Snack Bar,"Calle de Botoneras 6, 28012 Madrid","4.50 EUR sandwich","13:45 quick lunch Bocadillo de calamares Use the takeaway queue on the right and eat in the plaza",N/A
Taberna de Antonio Sanchez,Dinner,Traditional Madrid,"Calle Meson de Paredes 13, 28012 Madrid","18-28 EUR/person","21:15 half-price castizo alternative to Botin Bar dating to 1830 rabo de toro callos",N/A
