Name,Category,Type,Address,Cost Range,Tips,Website
Plaça d'Espanya,Transport,Metro / FGC Station,"Plaça d'Espanya, 08015 Barcelona","Included in the combined ticket","07:50 - Metro L5 to Diagonal then L3, or L2 from the Sagrada Família side, ~20 min. Early start forced by the 08:36 train. Coffee at the station if needed.",N/A
FGC ticket desk (Tot Montserrat),Activity,Combined Ticket,"Plaça d'Espanya FGC desk, Barcelona","Tot Montserrat ~71.50 EUR/pp; Trans Montserrat ~50 EUR/pp","08:15 - buy the combined ticket. TAKE TOT: the ~21.50 EUR upgrade buys ~26-30 EUR of things already planned (museum + all-you-can-eat buffet). Both options include the Barcelona Metro legs both ways. NO CHILD DISCOUNT - full adult price from age 5. The choir is NOT included in either ticket. Alternative: pre-buy the Tot voucher online and collect at Turisme de Barcelona, Pl. de Catalunya 17-S, daily 08:30-20:30.",https://www.fgc.cat
Monistrol de Montserrat (Cremallera),Transport,Rack Railway,"Monistrol de Montserrat, Barcelona","Included in the combined ticket","RECOMMENDED final leg - ~15 min cog-train up the mountain face. Gentler, best with anyone wary of heights. FGC R5 from Pl. d'Espanya at 08:36 toward Manresa, ~1 hr in the valley, then this.",N/A
Aeri de Montserrat,Transport,Cable Car,"Aeri de Montserrat, Barcelona","Included in the combined ticket","Alternative final leg - ~5 min, steep and spectacular, every 15 min. It swings - not for the vertigo-prone.",N/A
Montserrat Monastery,Sight,Monastery,"Montserrat, 08199 Barcelona","Included in the combined ticket","~10:15 arrival. The name means serrated mountain - fingers of conglomerate rock 1,000 m over the Llobregat valley, abbey wedged into a shelf halfway up. Benedictines here since 1025. Walk the esplanade rail for the valley drop. NOTE: cooler and breezier at 700 m, bring a layer.",https://www.abadiamontserrat.cat
Basilica + La Moreneta (Black Madonna),Sight,Basilica,"Montserrat Monastery, 08199 Barcelona","Included in the combined ticket","10:30 - GO IN EARLY, the queue builds toward midday. File past (and touch the orb held by) the 12th-century Black Madonna, Catalonia's patroness, in her golden camarín above the altar. Centuries of candle smoke darkened her - hence La Moreneta, the little dark one. Drop into Plaça de Santa Maria and the Gothic cloister courtyard on the way out.",N/A
Funicular de Sant Joan,Activity,Funicular,"Montserrat, 08199 Barcelona","Included in the combined ticket","11:15 - Europe's steepest funicular, ~7 min. From the top station, panorama over the whole massif and easy trails - the 20-min loop to the Sant Joan hermitage viewpoint is the family-sized bite. The full Sant Jeroni summit hike is 2.5-3 hrs, not today. Ride down in time for the choir. NOTE: the Santa Cova funicular is OUT OF SERVICE until further notice.",N/A
Escolania de Montserrat (boys' choir),Activity,Choir Performance,"Basilica de Montserrat, 08199 Barcelona","FREE but RESERVATION REQUIRED","13:00-13:15, be seated 12:40 - the nave fills to standing. Salve Regina + Virolai, sung by a choir documented since the 14th century. RESERVE AT reserves.abadiamontserrat.cat under 'Noon pray - Cant de l'Escolania' (NOT on escolania.cat) - pick Fri 28 Aug 2026, 4 seats. Their summer break is Aug 1-26 and they return Aug 27, so our Friday is their SECOND DAY BACK - re-check escolania.cat/en/when-do-we-sing the week before. They do not sing Saturdays.",https://reserves.abadiamontserrat.cat/en/560-reservations/2985-noon-pray-cant-de-lescolania
Monastery self-service buffet,Lunch,Buffet,"Montserrat Monastery, 08199 Barcelona","Included in the Tot ticket (~18-22 EUR bought separately)","13:30 - big terrace views, kids graze freely. Packed right after the choir - grab trays fast or hold 20 min.",N/A
Museu de Montserrat,Sight,Museum,"Montserrat Monastery, 08199 Barcelona","Included in the Tot ticket (~8 EUR separately)","14:30, ~1 hr. A genuinely good small collection - Caravaggio's St Jerome, El Greco, Monet, Picasso, Dalí, plus Egyptian pieces the monks collected. Cool and dark, perfect siesta-hour cover.",N/A
Camí de la Santa Cova,Sight,Cliff Path,"Montserrat, 08199 Barcelona",Free,"15:45 optional - the cliff-ledge path down to the Holy Grotto chapel where the Madonna was reputedly found. ~25 min each way past the Rosary monuments, including a First Mystery of Glory sculpted with Gaudí's involvement. Exposed and sun-struck at this hour - skip if the group is flagging (the funicular that used to shortcut it is the closed one).",N/A
Farmers' stalls (mató and honey),Shopping,Local Produce,"Montserrat esplanade walkway, 08199 Barcelona","3-5 EUR","16:15 on the way out - the row of local stands sells mató (fresh curd cheese eaten with honey, the monastery's signature bite), figs and mountain honey. The authentic souvenir.",N/A
Easy dinner near the hotel,Dinner,Tapas,"Eixample, 08013 Barcelona","15-25 EUR/person","19:30 - back down by ~18:15 (cremallera/Aeri then R5 to Pl. d'Espanya, ~1.5 hrs door-to-door). Big day, keep it low-key. Check the posted return times when you arrive in the morning - late-afternoon trains run ~hourly.",N/A
