Name,Category,Type,Address,Cost Range,Tips,Website
Emily's flat - C/ Alonso Cano 4,Logistics,Apartment,"Calle de Alonso Cano 4, 2A, 28010 Madrid","Taxi grande ~18-22 EUR, or two ordinary taxis ~13-16 EUR each","08:45 THE BAG MOVE - C. de Alejandro Dumas 30 to here, ~20 min north through the centre. 4 PEOPLE + 2 x 23 KG + DAYPACKS DOES NOT FIT ONE STANDARD MADRID TAXI: book a taxi grande (7-seat monovolumen) from Radio-Taxi +34 91 547 82 00, or take two ordinary taxis. CHECK WHETHER THERE IS A LIFT to the 2nd floor before anyone shoulders 23 kg. 09:10 first look, 50 minutes: bags in, find the fuse box, boiler, water shut-off, rubbish room, nearest 24h pharmacy. PHOTOGRAPH THE METER READINGS AND ANY DAMAGE TODAY - deposit disputes in December start here. HARD PIN: both checked bags inside 2ºA before the day ends. CONFIRM THIS WEEK IN WRITING THAT SHE HAS KEYS ON SEP 4.",N/A
Plaza de Olavide,Sight,Square,"Plaza de Olavide, 28010 Madrid",Free,"2 min from her door, and the actual answer to 'what's my neighbourhood like' - circular plaza, four terraces, a playground, zero tourists. Walk her through it in the morning, and it is the no-booking dinner fallback tonight (20-30 EUR/pp).",N/A
Nuevos Ministerios station,Transport,Interchange,"Paseo de la Castellana 67, 28046 Madrid","~2 EUR/pp","10:05 - WALK HER COMMUTE ON FOOT, ~15-18 min south-east across Chamberí. Do it once, together: it is the walk she will make most mornings until December. Hot-day alternative: Metro Iglesia L1 to Cuatro Caminos, L6 to here, ~15 min with two changes; or bus 3 / 149 straight down. POINT OUT WHERE THE CERCANÍAS ENTRANCE IS inside the interchange - it is not obvious and it is not the Metro entrance.",N/A
Cantoblanco Universidad (UAM),Sight,University Campus,"Cantoblanco Universidad, 28049 Madrid","~2 EUR/pp each way","10:30 Cercanías C-4, ~15 min. Buy her ticket, then LET HER BUY THE RETURN HERSELF. 10:45 on campus, walk in 10 min, she is in at 11:00. HARD PIN. GET THE REAL END TIME FROM HER THE NIGHT BEFORE - the meetup may end at 16:00 or as early as 12:00, and the two versions of this afternoon are different days. FORK B (out at 12:00): do not go anywhere in the gap, wait at the UAM Plaza Mayor cafeterías and take ALL FOUR to El Pardo 12:30-16:30 - the better day if it is offered.",N/A
Palacio Real de El Pardo,Sight,Palace,"Calle Manuel Alonso, 28048 El Pardo, Madrid","9 EUR adult / 4 EUR reduced","11:35-15:20 (FORK A) - taxi from campus ~20 min west across the Monte de El Pardo, ~22-28 EUR. Order one in Bolt/Free Now before leaving her building; the campus rank is unreliable. Carlos I's hunting lodge rebuilt into a palace - the finest Bayeu and Goya TAPESTRY collection hanging anywhere, room after room. Franco lived here 1940-1975; it is now the official residence for visiting heads of state. Apr-Sep Tue-Sun ~10:00-19:00, CLOSED MON. VERIFY AT tickets.patrimonionacional.es THE DAY BEFORE - it shuts at no notice for state visits.",https://www.patrimonionacional.es
Convento del Cristo de El Pardo,Sight,Monastery,"Calle del Cristo, 28048 El Pardo, Madrid",Free / donation,"Capuchin monastery hiding Gregorio Fernández's Cristo yacente (1605) - the most unsettlingly lifelike sculpture in Spanish baroque, and a family-taste bullseye given the church list on this trip. ~10:00-13:00 + 16:00-19:00, verify.",N/A
Casita del Príncipe,Sight,Garden Pavilion,"El Pardo, 28048 Madrid",Limited,"Villanueva's neoclassical garden pavilion for the future Carlos IV. Limited opening - verify, treat as a bonus.",N/A
Monte de El Pardo,Sight,Forest,"Monte de El Pardo, 28048 Madrid",Free,"The best-preserved Mediterranean holm-oak forest in Europe, protected as a royal hunting ground since the 1400s - which is exactly why it survived. Deer graze in sight of the road. The village itself (4,000 people, whitewashed streets, the parade ground, holm oaks down to the Manzanares) is 30 easy minutes.",N/A
Casa Julián de El Pardo,Lunch,Tortilla,"El Pardo, 28048 Madrid","20-30 EUR/person","13:30 - the tortilla people drive out from Madrid for: thick, barely set, and the reason half the tables are full of madrileños on a Friday.",N/A
La Marquesita,Lunch,Asador,"El Pardo, 28048 Madrid","30-40 EUR/person","13:30 option - village asador, game, roast meats, a terrace under the trees.",N/A
Terraza Jardín Felipe,Lunch,Garden Terrace,"El Pardo, 28048 Madrid","25-35 EUR/person","13:30 option - shaded garden terraces, easy family menus. 15:20 taxi back to Cantoblanco, ~22-28 EUR, be at her building by 15:55.",N/A
Mercado de Vallehermoso,Sight,Market,"Calle de Vallehermoso 36, 28015 Madrid","Free to browse","18:45, 8 min from her door - Chamberí's working market turned food hall, where she will actually shop. FRIDAY EVENING HOURS VARY, verify. 17:00-18:30 first: the unglamorous hour that matters more than any sight - unpack the checked bags, Mercadona/Carrefour Express for the first shop, a farmacia, sheets and a towel if the flat came bare.",N/A
