Name,Category,Type,Address,Cost Range,Tips,Website
Sixt Barcelona Sants (pickup),Transport,Car Rental,"SABA Sants Estació level -1, Plaça dels Països Catalans s/n, 08014 Barcelona","~170-270 EUR incl. the extra day","07:15 COLLECT THE CAR. Desk opens 07:00, daily to 23:00 - NOT 24/7 (only the airport is). Metro L5 direct from the flat. From Plaça de Joan Peiró take the lift to -1, just past the McDonald's. BOOK IT SUN 07:15 TO MON 09:45 - keeping it overnight is what lets you stay for dinner AND carries Monday's bags to the station. WARNING: if the driving licence is US-issued, Spain expects an INTERNATIONAL DRIVING PERMIT alongside it - ring 902 49 16 16 and confirm BEFORE paying, some desks refuse the rental without one. Add a second driver, it is 7 hours of motorway.",https://www.sixt.com/
AP-7 service area (Tarragona),Transport,Rest Stop,"AP-7 near Tarragona, Spain",—,"~09:30 coffee and bathroom stop, roughly halfway. Get it done before the friends are waiting in Valencia. THE WHOLE AP-7 IS TOLL-FREE since the concessions expired (Valencia-Alicante 2020, Tarragona-La Jonquera 31 Aug 2021) - older guides quoting ~38.50 EUR each way are out of date.",N/A
Plaça de la Reina,Meeting Point,Square,"Plaça de la Reina, 46001 València",Free,"11:30 MEET THE BENIDORM FRIENDS HERE. The obvious landmark for two families arriving from different directions - cathedral and Miguelete tower right there. PIN IT AND SEND IT TO THEM IN ADVANCE. Their run up from Benidorm is ~1h30 by car (150 km, AP-7) or 1h45 by direct hourly ALSA bus.",N/A
La Lonja de la Seda,Sight,UNESCO Silk Exchange,"Carrer de la Llotja 2, 46001 València","FREE Sundays 10:00-14:00","11:45 GO HERE FIRST - 14:00 Sunday closing is the day's only hard door. UNESCO World Heritage 15th-century silk exchange: a hall of spiralling twisted stone columns fanning into palm-tree vaulting. The best 45 minutes in Valencia, and free on Sundays.",N/A
Plaça de la Verge,Sight,Square,"Plaça de la Verge, 46003 València",Free,"12:35 - cathedral apse, Basílica dels Desemparats, the Turia fountain, shaded café tables. Let the kids run and the adults talk. This is what you drove down for.",N/A
Mercat Central,Sight,Market,"Plaça de la Ciutat de Bruges s/n, 46001 València",—,"CLOSED SUNDAYS - do not detour here on Aug 30. One of Europe's great modernista market halls; it needs a weekday, so not this trip.",N/A
El Palmar (Albufera),Lunch,Paella Village,"El Palmar, 46012 València","25-40 EUR/person","14:00 THE MEAL OF THE DAY AND THE REASON THE CAR WAS WORTH IT. BOOK AHEAD. 15 km south on the V-15, 20-25 min from the centre through the rice paddies. El Palmar is a fishing village on the Albufera lagoon and THE BIRTHPLACE OF PAELLA - ~25 restaurants all cooking rice over orange-wood fires, freshwater eel and lagoon fish. Where Valencians drive out for Sunday lunch. ARRIVE BEFORE 14:00: village parking is normally free and plentiful EXCEPT summer Sunday lunchtimes, exactly when you arrive. Order paella valenciana (chicken and rabbit - NO seafood, NO chorizo) or all i pebre, the local eel stew. Rice takes 45 min minimum to cook to order.",N/A
Albufera boat pontoon (El Palmar),Activity,Boat Trip,"Embarcadero de El Palmar, 46012 València","4-6 EUR/person","16:15 - flat wooden albuferencs leave the pontoon all day for a 30-40 min circuit of the lagoon and the Gola canal, through rice fields and waterfowl. Cheap, shaded, kids love it. Sunset over the Albufera is the famous version but that is ~20:15 and you will be at dinner - take the afternoon boat.",N/A
Platja de la Malvarrosa,Sight,Beach,"Platja de la Malvarrosa, 46011 València",Free,"17:45 (30 min drive from El Palmar) - wide, clean, shallow, lifeguarded, showers along the promenade, sea ~25 C in late August. FREE PARKING along the seafront on Sundays. PACK A BEACH BAG IN THE CAR THIS MORNING: swimwear, towels and a CHANGE OF CLOTHES FOR DINNER - there is no hotel to go back to.",N/A
Canalla Bistro,Dinner,Bistro,"Carrer del Mestre Josep Serrano 5, Ruzafa, 46005 València","Sharing menu 36 EUR / Canalla menu 41 EUR","20:00 DINNER - THE PICK. BOOK IT. Ricard Camarena's casual bistro, same chef as the city's Michelin-starred flagship at a third of the price. Sharing plates built for a big table: pastrami sandwich, pibil pork tacos, okonomiyaki pizza, tuna tartare. EXPLICITLY GOOD FOR FAMILIES AND GROUPS, in Valencia's nicest barrio for a stroll afterwards. SUNDAY 20:00-23:30. Roughly 250-330 EUR for eight.",https://www.canallabistro.com/en/home/
La Pilareta,Dinner,Tapas Bar,"Carrer del Moro Zeit 13, Barri del Carme, 46001 València","15-20 EUR/person","DINNER ALTERNATIVE - AND THE ONE THAT GETS YOU HOME EARLY. A genuine 1917 tapas bar, tiled and loud and entirely local. Famous for CLOCHINAS, the small sweet Valencian mussels, in season exactly now, plus bravas, sepia, croquetas. CONTINUOUS SERVICE SUN 12:30-23:30, so a group can actually eat at 19:00 and be on the AP-7 by 20:30. No reservations - go early, not at 21:00. Tel +34 963 91 04 97. ~120-160 EUR for eight.",N/A
La Taberna de Ruzafa,Dinner,Tapas,"Ruzafa, 46006 València","20-30 EUR/person","DINNER MIDDLE GROUND - proper tapas on a terrace, generous plates, neighbourhood prices, relaxed about children and walk-ins. Ruzafa has a dozen more like it within two streets if it is full - the safest barrio to just show up in with a group on a Sunday night.",N/A
La Marcelina,Dinner,Arroceria,"Passeig de Neptú 8, 46011 València","20-25 EUR/person","DINNER NO-MOVE OPTION - right on the Malvarrosa promenade if the beach is going well and nobody wants to get back in the car. Founded 1888, sea view, honest prices. SUNDAY 20:00-23:00. Tel +34 963 71 20 25. It is an arroceria, so order the seafood and fideua rather than a second paella.",N/A
La Pepica,Dinner,Arroceria,"Passeig de Neptú 6, 46011 València","35-50 EUR/person, 30 EUR/pp minimum","Listed for completeness. Beachfront since 1898, Hemingway's table, white tablecloths - but the priciest here, with a 30 EUR/pp minimum, and it is a rice house on the day you already ate rice at El Palmar. Sunday 20:30-23:00. Tel +34 963 71 03 66.",https://lapepica.com/en/
Casa Montaña,Dinner,Tapas Bodega,"Carrer de Josep Benlliure 69, El Cabanyal, 46011 València",—,"DO NOT PLAN DINNER HERE - SUNDAY LUNCH ONLY (12:30-16:00), CLOSED SUNDAY EVENING. The famous 1836 bodega tops every Valencia list, which is exactly why it is listed here: so nobody books the evening you cannot have. Same for La Riua (Carrer del Mar 27), which is CLOSED ALL DAY SUNDAY.",N/A
Valencia Cathedral (Holy Grail),Sight,Cathedral,"Plaça de l'Almoina s/n, 46003 València","~9 EUR incl. audio guide","SUNDAY 14:00-18:30 ONLY - collides head-on with the El Palmar lunch. The rice wins. If someone badly wants the Santo Cáliz, claimed as the Holy Grail, they can peel off at 16:00 while the rest go to the beach. Also the wet-weather swap.",N/A
Ciutat de les Arts i les Ciències,Sight,Museum Complex,"Av. del Professor López Piñero 7, 46013 València","Oceanogràfic ~35 EUR/pp","WET FALLBACK - Calatrava's white spaceship complex, 15 min from the old town, parking on site. The Oceanogràfic is Europe's largest aquarium, open daily and wholly indoors. Rain kills only the beach and the boat; keep El Palmar, the rice is better in bad weather anyway.",https://www.cac.es/en/
Estació d'Autobusos de València,Transport,Bus Station,"Av. de Menéndez Pidal 13, 46009 València","~19-22 EUR",WHERE YOUR FRIENDS ARRIVE IF THEY COME BY BUS. ALSA Benidorm to Valencia is direct 1h45 and runs roughly hourly (28 services/day). There is NO useful rail from Benidorm - the FGV tram only runs down the coast to Alicante. Hourly service means a missed bus costs them an hour not the day. Short taxi or metro from here to Plaça de la Reina.,https://www.alsa.com
Parking BSM Marina-Sagrada Família,Transport,Car Park,"Carrer de la Marina 264, 08013 Barcelona","~14 EUR overnight package","~01:15 PARK HERE ON THE WAY HOME - literally 12 doors up the street from the flat at Carrer de la Marina 240. Pre-book the night package on the B:SM app. Monday morning you walk 2 min back here, load the bags and drive to Sants - no taxi, no Metro with four roller bags.",N/A
