Name,Category,Type,Address,Cost Range,Tips,Website
Estación Zaragoza Delicias,Transport,Railway Station,"Calle Rioja 33, 50011 Zaragoza","Taxi to old town ~8-12 EUR; consigna 4-6 EUR/bag","12:28 arrival off AVE 03112 (Coche 6). DECIDE THE BAG PLAN BEFORE ARRIVAL. Plan A (preferred): if Isabel/Jose Luis OK'd it, taxi straight to the apartment and leave bags inside the door. Plan B: lockers here (08:00-21:00, ID needed), then bus 34 or taxi into town bag-free. With four people skip the bus - a taxi is 10-12 min and costs about the same as four fares.",N/A
El Tubo,Lunch,Tapas Alleys,"Calles Estébanes / Libertad / 4 de Agosto, 50003 Zaragoza","12-18 EUR/person","~13:15 - the knot of tapas alleys between Plaza España and the Pilar. ITS CLASSICS ARE OPEN MONDAYS, which today makes it the safest lunch in town. Mini-crawl: Bodegas Almau then Taberna Doña Casta then El Champi.",N/A
Bodegas Almau,Lunch,Vermouth Bar,"Calle Estébanes 10, 50003 Zaragoza","8-15 EUR/person","1870 house - vermouth and anchovies, 11:00-16:00 (and open till 24:00 for the evening crawl).",N/A
Taberna Doña Casta,Lunch,Croquetas,"Calle Estébanes 6, 50003 Zaragoza","8-15 EUR/person","Famous croquetas, 12:00-16:00. Get the ternasco one - the warm-up for tomorrow's lamb.",N/A
El Champi,Lunch,Pintxos,"Calle Libertad 16, 50003 Zaragoza","~1 EUR/pintxo","The 1-euro-ish grilled-mushroom pintxo, opposite Doña Casta. One of Zaragoza's rituals.",N/A
Mercado Central,Lunch,Market,"Avenida César Augusto 110, 50003 Zaragoza","10-15 EUR/person","Lunch alternative - 1903 Modernist iron market, degustación stands in the centre. Food stalls run till ~14:00.",N/A
Plaza del Pilar,Sight,Square,"Plaza del Pilar, 50003 Zaragoza",Free,"14:30 siesta-hour loop - paid sights are shut 14:30-16:00 and it is the hottest hour, so do the free open-air set now. 156 m long, one of Europe's biggest pedestrian squares. Goya statue and the Fuente de la Hispanidad on the way.",N/A
La Lonja,Sight,Renaissance Exchange,"Plaza del Pilar, 50003 Zaragoza",Free from outside,"14:30 - 1540s Renaissance merchant exchange. EXTERIOR ONLY: the interior opens for exhibitions and is closed Mondays.",N/A
Basílica del Pilar,Sight,Basilica,"Plaza del Pilar, 50003 Zaragoza",Free,"~15:00, allow 25-30 min. Open straight through the afternoon (~06:45-20:30) - cool, dim, perfect at siesta hour. Goya frescoes on the domes, and the two Civil War bombs that fell through the roof in 1936 and did not explode, displayed as miracles. Modest dress, hats off, quiet during Masses.",N/A
Apartamento Centro 5 (Isabel),Hotel,Apartment,"C. del Dr. Alejandro Palomar 38, 2º Izda, 50002 Zaragoza","BOOKED - Airbnb HM28SJ8P8C, 93.93 USD","16:00 check-in. REGISTRATION FORM IS DONE and the lockbox code is released - save it offline on two phones, there is no reception desk here and the lockbox is the only way in. Drop everything, water, 45 min flop. Eroski City is 4 min away on Coso 126 for the fridge. QUIET HOURS START 22:00 - come home on cat feet.",N/A
La Seo (Catedral del Salvador),Sight,Cathedral,"Plaza de la Seo 4, 50001 Zaragoza","10 EUR adult / 7 EUR youth 13-18 with student ID / under-12 free; cathedral + Pilar tower combo 12 EUR (youth 9)","17:30, allow 60-75 min - 8 min walk from the apartment. OPEN MONDAYS unlike the museums: Mon-Sat 10:00-14:30 & 16:00-20:00, last entry ~19:15. Zaragoza's other cathedral and the connoisseur's one. Walk the outside first to the Mudéjar north wall (Parroquieta de San Miguel), the finest brick-and-tile wall in Aragón. Inside: alabaster high altar, and upstairs a world-class Flemish tapestry museum. BUY THE COMBO HERE and use the tower leg in an hour.",N/A
Torre Mirador del Pilar,Sight,Tower Lift,"Plaza del Pilar, 50003 Zaragoza","6 EUR adult / 4 EUR youth / under-12 free, or the 12/9 EUR combo","19:00, allow 30-40 min. Mon-Thu 16:00-20:00, LAST LIFT ~19:30 - DO NOT ARRIVE LATER. Lift up the northwest tower plus a few stairs to an enclosed 360 gallery at ~80 m: tiled domes right below, the Ebro, the Pyrenees on a clear day. Small groups every ~15 min. Sunset is 20:37, after it closes - golden-hour light at 19:15 is the best you get up here.",N/A
Santa Capilla (Basílica del Pilar),Sight,Shrine,"Plaza del Pilar, 50003 Zaragoza",Free,"20:05 - back inside the basilica (open to ~20:30) for the pillar itself, on which the Virgin is said to have appeared to Santiago in 40 AD, making this the oldest Marian shrine in Christendom. Pilgrims queue to kiss the exposed sliver. Evening is the quiet time.",N/A
Puente de Piedra,Sight,Bridge,"Puente de Piedra, 50003 Zaragoza",Free,"20:20 - walk to the middle of the 15th-century stone bridge. SUNSET 20:37: the towers and tiled domes go gold, then the floodlights come on for blue hour (~20:45-21:10) with the whole thing doubled in the Ebro. THE classic Zaragoza photograph - take the family shot here. The north bank promenade (Balcón de San Lázaro side) gives the wider angle.",N/A
El Tubo crawl (dinner),Dinner,Tapas,"Calles Estébanes / Libertad / Mártires, 50003 Zaragoza","18-28 EUR/person","21:00 - Doña Casta (ternasco croquetas), El Champi (garlicky mushroom pintxo), Bodegas Almau (open till 24:00) plus whatever smells good. THE DISH TO LOOK FOR: ternasco aragonés, PDO young lamb.",N/A
Host-picks crawl,Dinner,Tapas,"Near C. del Dr. Alejandro Palomar, 50002 Zaragoza","15-25 EUR/person","21:00 alternative, recommended by Isabel/Jose Luis: Bar Gallizo, then La Viña (berenjenas con miel), then El Ángel del Pincho, nightcap at The Lynx. MONDAY/AUGUST HOURS UNVERIFIED - if a shutter is down, El Tubo is 10 min away.",N/A
Casa Lac,Dinner,Aragonese,"Calle Mártires 12, 50003 Zaragoza",—,"NOT TONIGHT - Spain's oldest restaurant serves no dinner on Mondays (several listings say closed Monday entirely). It is booked for tomorrow's lunch instead.",N/A
